institution_id,country,country_code,name_canonical,name_display,institution_name_norm,legacy_ids,aliases
1,UK,GB,115th Leicester Scouts,115th Leicester Scouts,115th leicester scouts,"[""583""]",[]
2,UK,GB,11th St Marylebone Scout Group,11th St Marylebone Scout Group,11th st marylebone scout group,"[""1345""]",[]
3,UK,GB,1st Bromley Al-Emaan Centre Scouts,1st Bromley Al-Emaan Centre Scouts,1st bromley al emaan centre scouts,"[""1346""]",[]
4,UK,GB,1st Cathays Al-Huda Beavers,1st Cathays Al-Huda Beavers,1st cathays al huda beavers,"[""1347""]",[]
5,Germany,DE,1st Cathays Al-Huda Scouts - Germany,1st Cathays Al-Huda Scouts - Germany,1st cathays al huda scouts germany,"[""232""]",[]
6,South Africa,ZA,1st Cathays Al-Huda Scouts - South Africa,1st Cathays Al-Huda Scouts - South Africa,1st cathays al huda scouts south africa,"[""391""]",[]
7,UK,GB,1st Cathays Al-Huda Scouts - UK,1st Cathays Al-Huda Scouts - UK,1st cathays al huda scouts uk,"[""546""]",[]
8,USA,US,1st Cathays Al-Huda Scouts - USA,1st Cathays Al-Huda Scouts - USA,1st cathays al huda scouts usa,"[""843""]",[]
9,UK,GB,23rd West Lothian Alhuda,23rd West Lothian Alhuda,23rd west lothian alhuda,"[""635""]",[]
10,UK,GB,30th Purley Scouts group,30th Purley Scouts group,30th purley scouts group,"[""1273""]",[]
11,UK,GB,313th Scouts,313th Scouts,313th scouts,"[""547""]",[]
12,UK,GB,333MAFScouts,333MAFScouts,333mafscouts,"[""1348""]",[]
13,Canada,CA,7 peppers grill,7 peppers grill,7 peppers grill,"[""1349""]",[]
14,USA,US,7 Skies Junk Disposal,7 Skies Junk Disposal,7 skies junk disposal,"[""1049""]",[]
15,Germany,DE,7hills,7hills,7hills,"[""276""]",[]
16,UK,GB,Abdullah Quilliam Society,Abdullah Quilliam Society,abdullah quilliam society,"[""1274""]",[]
17,UK,GB,Abertay Univeristy,Abertay Univeristy,abertay univeristy,"[""1350""]",[]
